t,psi_ref,psi,psi_meas,x,y,cmd,delta
11.55,0.1698146,0.045248531,0.017165472,36.959999,0.0066799804,0.25416632,0.1485992
11.6,0.17253379,0.045991618,0.01748987,37.119998,0.0068084132,0.25818413,0.15088222
11.65,0.17529621,0.046745853,0.017819159,37.279998,0.0069389523,0.26226795,0.15320276
11.7,0.17810253,0.04751141,0.018153405,37.439998,0.0070716291,0.26641881,0.15556143
11.75,0.18095343,0.048288466,0.018492679,37.599998,0.007206476,0.27063777,0.15795885
11.8,0.18384961,0.049077202,0.018837049,37.759998,0.0073435253,0.2749259,0.16039566
11.85,0.18679179,0.0498778,0.019186587,37.919998,0.0074828104,0.27928428,0.16287251
11.9,0.18978067,0.050690447,0.019541366,38.079998,0.0076243648,0.28371402,0.16539004
11.95,0.19281699,0.051515332,0.019901458,38.239998,0.0077682228,0.28821623,0.16794892
12,0.19590149,0.052352649,0.02026694,38.399998,0.0079144189,0.29279204,0.17054982
12.05,0.19903492,0.053202592,0.020637887,38.559998,0.0080629886,0.2974426,0.17319342
12.1,0.20221804,0.054065361,0.021014376,38.719998,0.0082139675,0.30216908,0.17588041
12.15,0.20545163,0.054941158,0.021396486,38.879998,0.0083673921,0.30697266,0.1786115
12.2,0.20873648,0.055830189,0.021784297,39.039998,0.0085232994,0.31185453,0.1813874
12.25,0.21207337,0.056732665,0.022177891,39.199998,0.0086817269,0.31681591,0.18420882
12.3,0.21546313,0.057648796,0.022577351,39.359998,0.0088427126,0.32185803,0.18707652
12.35,0.21890657,0.058578801,0.02298276,39.519997,0.0090062955,0.32698215,0.18999122
12.4,0.22240452,0.059522898,0.023394204,39.679997,0.0091725147,0.33218953,0.19295368
12.45,0.22595784,0.060481312,0.023811771,39.839997,0.0093414104,0.33748146,0.19596468
12.5,0.22956739,0.061454269,0.024235549,39.999997,0.0095130231,0.34285923,0.19902498
12.55,0.23323402,0.062442002,0.024665628,40.159997,0.009687394,0.34832418,0.20213538
12.6,0.23695864,0.063444744,0.025102099,40.319997,0.0098645651,0.35387763,0.20529668
12.65,0.24074213,0.064462736,0.025545057,40.479997,0.010044579,0.35952096,0.20850968
12.7,0.24458542,0.065496219,0.025994595,40.639997,0.010227479,0.36525554,0.21177522
12.75,0.24848941,0.066545441,0.02645081,40.799997,0.010413309,0.37108276,0.21509413
12.8,0.25245506,0.067610653,0.026913801,40.959997,0.010602113,0.37700404,0.21846725
12.85,0.25648332,0.06869211,0.027383666,41.119996,0.010793938,0.38302083,0.22189545
12.9,0.26057514,0.069790071,0.027860508,41.279996,0.010988828,0.38913457,0.2253796
12.95,0.26473152,0.0709048,0.02834443,41.439996,0.011186832,0.39534675,0.22892058
13,0.26895344,0.072036565,0.028835536,41.599996,0.011387996,0.40165886,0.2325193
13.05,0.27324192,0.073185638,0.029333933,41.759996,0.011592369,0.40807242,0.23617665
13.1,0.27759798,0.074352296,0.02983973,41.919996,0.011799999,0.41458896,0.23989358
13.15,0.28202265,0.075536821,0.030353037,42.079996,0.012010938,0.42121006,0.243671
13.2,0.286517,0.076739499,0.030873967,42.239996,0.012225235,0.42793729,0.24750988
13.25,0.2910821,0.07796062,0.031402634,42.399995,0.012442942,0.43477225,0.25141118
13.3,0.29571902,0.079200481,0.031939154,42.559995,0.012664111,0.44171657,0.25537588
13.35,0.30042888,0.08045938,0.032483645,42.719995,0.012888796,0.4487719,0.25940496
13.4,0.30521278,0.081737624,0.033036227,42.879995,0.013117051,0.4559399,0.26349944
13.45,0.31007186,0.083035523,0.033597023,43.039995,0.01334893,0.46322228,0.26766033
13.5,0.31500727,0.084353392,0.034166157,43.199995,0.013584489,0.47062074,0.27188867
13.55,0.32002017,0.085691552,0.034743756,43.359994,0.013823785,0.47813703,0.27618551
13.6,0.32511176,0.087050328,0.035329948,43.519994,0.014066875,0.48577291,0.28055192
13.65,0.33028322,0.088430051,0.035924864,43.679994,0.014313818,0.49353016,0.28498897
13.7,0.33553578,0.089831057,0.036528637,43.839994,0.014564674,0.5014106,0.28949775
13.75,0.34087067,0.091253689,0.037141403,43.999994,0.014819502,0.50941605,0.29407938
13.8,0.34628914,0.092698293,0.037763298,44.159993,0.015078364,0.51754839,0.29873499
13.85,0.35179245,0.094165223,0.038394464,44.319993,0.015341323,0.52580948,0.3034657
13.9,0.35738191,0.095654836,0.039035042,44.479993,0.015608441,0.53420125,0.30827269
13.95,0.36305882,0.097167498,0.039685177,44.639993,0.015879784,0.54272562,0.31315713
14,0.36882449,0.098703579,0.040345017,44.799993,0.016155416,0.55138456,0.3181202
14.05,0.37468027,0.10026346,0.041014711,44.959992,0.016435405,0.56018005,0.32316312
14.1,0.38062753,0.10184751,0.041694412,45.119992,0.016719816,0.56911411,0.32828709
14.15,0.38666765,0.10345613,0.042384275,45.279992,0.01700872,0.57818877,0.33349338
14.2,0.39280202,0.10508971,0.043084456,45.439992,0.017302186,0.58740609,0.33878323
14.25,0.39903206,0.10674865,0.043795117,45.599991,0.017600284,0.59676817,0.34415791
14.3,0.40535922,0.10843336,0.04451642,45.759991,0.017903087,0.60627713,0.34961873
14.35,0.41178496,0.11014425,0.045248531,45.919991,0.018210668,0.61593511,0.35516699
14.4,0.41831075,0.11188174,0.045991618,46.07999,0.0185231,0.62574429,0.36080402
14.45,0.42493809,0.11364627,0.046745853,46.23999,0.01884046,0.63570686,0.36653116
14.5,0.43166851,0.11543826,0.04751141,46.39999,0.019162825,0.64582507,0.37234978
14.55,0.43850355,0.11725816,0.048288466,46.559989,0.019490271,0.65610116,0.37826127
14.6,0.44544477,0.11910641,0.049077202,46.719989,0.019822878,0.66653743,0.38426702
14.65,0.45249375,0.12098346,0.0498778,46.879989,0.020160728,0.67713619,0.39036846
14.7,0.4596521,0.12288979,0.050690447,47.039988,0.020503901,0.68789978,0.39656703
14.75,0.46692145,0.12482586,0.051515332,47.199988,0.02085248,0.69883059,0.40286419
14.8,0.47430345,0.12679214,0.052352649,47.359988,0.02120655,0.70993101,0.40926141
14.85,0.48179977,0.12878913,0.053202592,47.519987,0.021566197,0.72120348,0.41576021
