t,r,y,ym,yf,feedback,e,u,delta
5.32,0.72,0.58570854,0.62860612,0.44819292,0.44819292,0.27180708,0.58438523,0.73632623
5.34,0.72,0.58747777,0.66361459,0.45602643,0.45602643,0.26397357,0.56754317,0.72282358
5.36,0.72,0.58904531,0.68614384,0.46439434,0.46439434,0.25560566,0.54955217,0.70896187
5.38,0.72,0.59041344,0.64559734,0.47098354,0.47098354,0.24901646,0.53538539,0.69507575
5.4,0.72,0.59159509,0.52044225,0.47278204,0.47278204,0.24721796,0.53151862,0.68199118
5.42,0.72,0.5926014,0.53178908,0.47492775,0.47492775,0.24507225,0.52690534,0.66958431
5.44,0.72,0.5934378,0.59454693,0.47927754,0.47927754,0.24072246,0.5175533,0.65742183
5.46,0.72,0.59410557,0.64590744,0.48533681,0.48533681,0.23466319,0.50452587,0.64519015
5.48,0.72,0.59460789,0.62943549,0.49057676,0.49057676,0.22942324,0.49325997,0.63303574
5.5,0.72,0.59495446,0.55247194,0.49282749,0.49282749,0.22717251,0.48842089,0.62146655
