t,u_raw,u_sat,u_rate,ref,psi,x,y
55.08,-3.403935,-3.403935,-3.403935,72,73.098056,74.047932,130.65594
55.12,-3.3994906,-3.3994906,-3.3994906,72,73.096761,74.082823,130.77075
55.16,-3.3941274,-3.3941274,-3.3941274,72,73.095168,74.117717,130.88557
55.2,-3.3878522,-3.3878522,-3.3878522,72,73.09328,74.152614,131.00038
55.24,-3.380672,-3.380672,-3.380672,72,73.091099,74.187517,131.11519
55.28,-3.372594,-3.372594,-3.372594,72,73.088628,74.222424,131.23
55.32,-3.3636255,-3.3636255,-3.3636255,72,73.085868,74.257336,131.34481
55.36,-3.3537742,-3.3537742,-3.3537742,72,73.082823,74.292255,131.45962
55.4,-3.3430479,-3.3430479,-3.3430479,72,73.079495,74.32718,131.57442
55.44,-3.3314546,-3.3314546,-3.3314546,72,73.075885,74.362113,131.68923
55.48,-3.3190024,-3.3190024,-3.3190024,72,73.071998,74.397053,131.80403
55.52,-3.3056997,-3.3056997,-3.3056997,72,73.067835,74.432002,131.91883
55.56,-3.2915552,-3.2915552,-3.2915552,72,73.063399,74.46696,132.03362
55.6,-3.2765776,-3.2765776,-3.2765776,72,73.058694,74.501927,132.14841
55.64,-3.2607758,-3.2607758,-3.2607758,72,73.053721,74.536904,132.2632
55.68,-3.2441589,-3.2441589,-3.2441589,72,73.048484,74.571891,132.37799
55.72,-3.2267362,-3.2267362,-3.2267362,72,73.042986,74.60689,132.49277
55.76,-3.2085172,-3.2085172,-3.2085172,72,73.03723,74.6419,132.60755
55.8,-3.1895116,-3.1895116,-3.1895116,72,73.031219,74.676922,132.72233
55.84,-3.169729,-3.169729,-3.169729,72,73.024956,74.711956,132.8371
55.88,-3.1491795,-3.1491795,-3.1491795,72,73.018444,74.747004,132.95187
55.92,-3.1278732,-3.1278732,-3.1278732,72,73.011687,74.782065,133.06663
55.96,-3.1058203,-3.1058203,-3.1058203,72,73.004687,74.81714,133.18139
56,-3.0830312,-3.0830312,-3.0830312,72,72.997448,74.85223,133.29614
56.04,-3.0595165,-3.0595165,-3.0595165,72,72.989974,74.887335,133.4109
56.08,-3.0352869,-3.0352869,-3.0352869,72,72.982268,74.922455,133.52564
56.12,-3.0103533,-3.0103533,-3.0103533,72,72.974333,74.957591,133.64038
56.16,-2.9847264,-2.9847264,-2.9847264,72,72.966173,74.992743,133.75512
56.2,-2.9584176,-2.9584176,-2.9584176,72,72.957792,75.027912,133.86985
56.24,-2.931438,-2.931438,-2.931438,72,72.949192,75.063099,133.98457
56.28,-2.9037989,-2.9037989,-2.9037989,72,72.940379,75.098303,134.09929
56.32,-2.8755117,-2.8755117,-2.8755117,72,72.931354,75.133525,134.21401
56.36,-2.8465882,-2.8465882,-2.8465882,72,72.922123,75.168765,134.32872
56.4,-2.8170399,-2.8170399,-2.8170399,72,72.912688,75.204025,134.44342
56.44,-2.7868786,-2.7868786,-2.7868786,72,72.903054,75.239303,134.55812
56.48,-2.7561163,-2.7561163,-2.7561163,72,72.893225,75.274602,134.67281
56.52,-2.7247649,-2.7247649,-2.7247649,72,72.883204,75.30992,134.78749
56.56,-2.6928366,-2.6928366,-2.6928366,72,72.872995,75.345259,134.90217
56.6,-2.6603434,-2.6603434,-2.6603434,72,72.862602,75.380619,135.01684
56.64,-2.6272977,-2.6272977,-2.6272977,72,72.852029,75.416,135.13151
56.68,-2.5937118,-2.5937118,-2.5937118,72,72.84128,75.451402,135.24617
56.72,-2.5595981,-2.5595981,-2.5595981,72,72.830359,75.486826,135.36082
56.76,-2.5249692,-2.5249692,-2.5249692,72,72.81927,75.522273,135.47547
56.8,-2.4898376,-2.4898376,-2.4898376,72,72.808017,75.557742,135.5901
56.84,-2.4542159,-2.4542159,-2.4542159,72,72.796605,75.593233,135.70473
56.88,-2.4181169,-2.4181169,-2.4181169,72,72.785036,75.628748,135.81936
56.92,-2.3815534,-2.3815534,-2.3815534,72,72.773316,75.664287,135.93398
56.96,-2.3445381,-2.3445381,-2.3445381,72,72.761448,75.699849,136.04859
57,-2.3070839,-2.3070839,-2.3070839,72,72.749437,75.735435,136.16319
57.04,-2.2692037,-2.2692037,-2.2692037,72,72.737286,75.771045,136.27778
57.08,-2.2309106,-2.2309106,-2.2309106,72,72.725001,75.80668,136.39237
57.12,-2.1922174,-2.1922174,-2.1922174,72,72.712584,75.84234,136.50695
57.16,-2.1531373,-2.1531373,-2.1531373,72,72.700041,75.878025,136.62152
57.2,-2.1136834,-2.1136834,-2.1136834,72,72.687376,75.913735,136.73608
57.24,-2.0738687,-2.0738687,-2.0738687,72,72.674592,75.949471,136.85064
57.28,-2.0337063,-2.0337063,-2.0337063,72,72.661694,75.985233,136.96519
57.32,-1.9932095,-1.9932095,-1.9932095,72,72.648686,76.02102,137.07972
57.36,-1.9523913,-1.9523913,-1.9523913,72,72.635573,76.056834,137.19426
57.4,-1.911265,-1.911265,-1.911265,72,72.622358,76.092674,137.30878
57.44,-1.8698437,-1.8698437,-1.8698437,72,72.609046,76.128541,137.42329
57.48,-1.8281407,-1.8281407,-1.8281407,72,72.595642,76.164435,137.5378
57.52,-1.7861691,-1.7861691,-1.7861691,72,72.582149,76.200355,137.6523
57.56,-1.7439422,-1.7439422,-1.7439422,72,72.568571,76.236303,137.76679
57.6,-1.7014731,-1.7014731,-1.7014731,72,72.554914,76.272278,137.88127
57.64,-1.658775,-1.658775,-1.658775,72,72.541181,76.30828,137.99574
57.68,-1.6158612,-1.6158612,-1.6158612,72,72.527376,76.34431,138.1102
57.72,-1.5727447,-1.5727447,-1.5727447,72,72.513504,76.380368,138.22466
57.76,-1.5294387,-1.5294387,-1.5294387,72,72.499569,76.416454,138.3391
57.8,-1.4859562,-1.4859562,-1.4859562,72,72.485575,76.452567,138.45354
57.84,-1.4423105,-1.4423105,-1.4423105,72,72.471527,76.488709,138.56797
57.88,-1.3985146,-1.3985146,-1.3985146,72,72.457428,76.524878,138.68239
57.92,-1.3545814,-1.3545814,-1.3545814,72,72.443283,76.561076,138.7968
57.96,-1.310524,-1.310524,-1.310524,72,72.429096,76.597303,138.9112
58,-1.2663554,-1.2663554,-1.2663554,72,72.414871,76.633557,139.02559
58.04,-1.2220883,-1.2220883,-1.2220883,72,72.400613,76.669841,139.13997
58.08,-1.1777358,-1.1777358,-1.1777358,72,72.386325,76.706152,139.25435
58.12,-1.1333106,-1.1333106,-1.1333106,72,72.372011,76.742492,139.36871
58.16,-1.0888254,-1.0888254,-1.0888254,72,72.357677,76.778861,139.48307
58.2,-1.044293,-1.044293,-1.044293,72,72.343325,76.815259,139.59742
58.24,-0.99972596,-0.99972596,-0.99972596,72,72.328961,76.851685,139.71175
58.28,-0.95513691,-0.95513691,-0.95513691,72,72.314587,76.88814,139.82608
58.32,-0.91053836,-0.91053836,-0.91053836,72,72.300208,76.924623,139.9404
58.36,-0.86594273,-0.86594273,-0.86594273,72,72.285829,76.961136,140.05471
58.4,-0.82136241,-0.82136241,-0.82136241,72,72.271453,76.997677,140.16901
58.44,-0.77680967,-0.77680967,-0.77680967,72,72.257083,77.034246,140.28331
58.48,-0.73229676,-0.73229676,-0.73229676,72,72.242725,77.070844,140.39759
58.52,-0.68783578,-0.68783578,-0.68783578,72,72.228382,77.107471,140.51186
58.56,-0.64343881,-0.64343881,-0.64343881,72,72.214057,77.144127,140.62613
58.6,-0.5991178,-0.5991178,-0.5991178,72,72.199756,77.180811,140.74038
58.64,-0.55488463,-0.55488463,-0.55488463,72,72.18548,77.217523,140.85463
58.68,-0.51075107,-0.51075107,-0.51075107,72,72.171236,77.254264,140.96887
58.72,-0.46672883,-0.46672883,-0.46672883,72,72.157025,77.291033,141.08309
58.76,-0.42282948,-0.42282948,-0.42282948,72,72.142852,77.32783,141.19731
58.8,-0.37906452,-0.37906452,-0.37906452,72,72.128721,77.364656,141.31152
58.84,-0.33544532,-0.33544532,-0.33544532,72,72.114635,77.401509,141.42572
58.88,-0.29198318,-0.29198318,-0.29198318,72,72.100598,77.438391,141.53991
58.92,-0.24868926,-0.24868926,-0.24868926,72,72.086614,77.475301,141.6541
58.96,-0.20557461,-0.20557461,-0.20557461,72,72.072686,77.512238,141.76827
