idx,a
666,74.856623224860
667,75.622123684471
668,76.395452321849
669,77.176689189680
670,77.965915159284
671,78.763211928992
672,79.568662032599
673,80.382348847907
674,81.204356605362
675,82.034770396766
676,82.873676184089
677,83.721160808369
678,84.577311998698
679,85.442218381306
680,86.315969488734
681,87.198655769104
682,88.090368595479
683,88.991200275324
684,89.901244060060
685,90.820594154718
686,91.749345727692
687,92.687594920587
688,93.635438858174
689,94.592975658445
690,95.560304442767
691,96.537525346143
692,97.524739527582
693,98.522049180564
694,99.529557543625
695,100.547368911039
696,101.575588643619
697,102.614323179618
698,103.663680045753
699,104.723767868332
700,105.794696384498
701,106.876576453593
702,107.969520068631
703,109.073640367889
704,110.189051646625
705,111.315869368902
706,112.454210179547
707,113.604191916220
708,114.765933621619
709,115.939555555795
710,117.125179208607
711,118.322927312297
712,119.532923854193
713,120.755294089545
714,121.990164554492
715,123.237663079158
716,124.497918800888
717,125.771062177612
718,127.057225001355
719,128.356540411873
720,129.669142910442
721,130.995168373776
722,132.334754068093
723,133.688038663330
724,135.055162247490
725,136.436266341149
726,137.831493912101
727,139.240989390166
728,140.664898682129
729,142.103369186854
730,143.556549810539
731,145.024590982127
732,146.507644668883
733,148.005864392122
734,149.519405243103
735,151.048423899082
736,152.593078639530
737,154.153529362523
738,155.729937601287
739,157.322466540922
740,158.931281035299
741,160.556547624116
742,162.198434550149
743,163.857111776656
744,165.532751004982
745,167.225525692325
746,168.935611069696
747,170.663184160056
748,172.408423796645
749,174.171510641488
750,175.952627204103
751,177.751957860389
752,179.569688871714
753,181.406008404197
754,183.261106548184
755,185.135175337930
756,187.028408771472
757,188.941002830715
758,190.873155501720
759,192.825066795194
760,194.796938767202
761,196.788975540077
762,198.801383323551
763,200.834370436106
764,202.888147326532
765,204.962926595716
766,207.058923018651
767,209.176353566663
768,211.315437429878
769,213.476396039907
770,215.659453092772
771,217.864834572057
772,220.092768772309
773,222.343486322661
774,224.617220210713
775,226.914205806649
776,229.234680887598
777,231.578885662252
778,233.947062795733
779,236.339457434706
780,238.756317232764
781,241.197892376057
782,243.664435609199
783,246.156202261422
784,248.673450273013
785,251.216440222015
786,253.785435351199
787,256.380701595314
788,259.002507608619
789,261.651124792689
790,264.326827324513
791,267.029892184875
792,269.760599187025
793,272.519231005645
794,275.306073206115
795,278.121414274065
796,280.965545645246
797,283.838761735694
798,286.741359972211
799,289.673640823151
800,292.635907829521
801,295.628467636411
802,298.651630024728
803,301.705707943268
804,304.791017541112
805,307.907878200351
806,311.056612569148
807,314.237546595139
808,317.451009559172
809,320.697334109394
810,323.976856295685
811,327.289915604448
812,330.636854993748
813,334.018020928816
814,337.433763417911
815,340.884436048559
816,344.370396024145
817,347.892004200900
818,351.449625125249
819,355.043627071547
820,358.674382080210
821,362.342265996218
822,366.047658508026
823,369.790943186868
824,373.572507526462
825,377.392742983123
826,381.252045016287
827,385.150813129443
828,389.089450911494
829,393.068366078531
830,397.087970516041
831,401.148680321545
832,405.250915847666
833,409.395101745651
834,413.581667009321
835,417.811045019484
836,422.083673588799
837,426.399995007093
838,430.760456087144
839,435.165508210942
840,439.615607376405
841,444.111214244591
842,448.652794187376
843,453.240817335636
844,457.875758627908
845,462.558097859555
846,467.288319732437
847,472.066913905080
848,476.894375043369
849,481.771202871750
850,486.697902224964
851,491.674983100303
852,496.702960710407
853,501.782355536592
854,506.913693382732
855,512.097505429690
856,517.334328290301
857,522.624704064923
858,527.969180397552
859,533.368310532514
860,538.822653371733
861,544.332773532589
862,549.899241406365
863,555.522633217293
864,561.203531082199
865,566.942523070768
866,572.740203266414
867,578.597171827782
868,584.514035050871
